team,event_type,gh_time,global_id,student,sprint
t03,commit,2024-03-27T19:00:52Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-27T17:59:08Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-27T17:42:27Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-27T17:29:00Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-27T17:03:51Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-27T04:17:47Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-26T22:54:33Z,g001,t03_s01,Sprint 2
t03,commit,2024-03-26T22:32:10Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-26T20:55:28Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-26T20:28:06Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-26T19:50:28Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-26T19:39:34Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-26T19:14:57Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-26T18:51:21Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-26T16:33:27Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-26T16:31:21Z,g077,t03_s05,Sprint 2
t03,commit,2024-03-26T16:22:27Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-26T15:35:58Z,g077,t03_s05,Sprint 2
t03,commit,2024-03-26T05:09:19Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-26T04:53:13Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-25T21:42:17Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-25T21:33:32Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-25T19:49:34Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-25T19:32:53Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-25T19:25:51Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-21T21:17:04Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-21T19:24:31Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-21T19:23:37Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-21T17:26:48Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-21T14:29:10Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-21T02:09:55Z,g001,t03_s01,Sprint 2
t03,commit,2024-03-20T22:22:45Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-20T21:09:34Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-20T21:03:52Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-20T20:45:05Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-20T20:02:09Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-20T19:57:01Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-20T19:46:31Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-20T19:24:05Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-20T16:32:39Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-20T16:31:23Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-20T16:21:35Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-20T04:44:17Z,g031,t03_s02,Sprint 2
t03,commit,2024-03-19T19:04:45Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-18T20:52:37Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-18T20:22:30Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-18T20:20:21Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-18T20:09:18Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-18T00:27:37Z,g001,t03_s01,Sprint 2
t03,commit,2024-03-17T18:46:51Z,g001,t03_s01,Sprint 2
t03,commit,2024-03-17T18:41:15Z,g001,t03_s01,Sprint 2
t03,commit,2024-03-15T18:58:10Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-12T18:50:36Z,g076,t03_s04,Sprint 2
t03,commit,2024-03-07T22:40:56Z,g063,t03_s03,Sprint 2
t03,commit,2024-03-07T19:08:16Z,g076,t03_s04,Sprint 2
t03,commit,2024-02-28T00:45:49Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T22:42:24Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-27T22:06:52Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-27T21:04:12Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T20:58:59Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T18:45:17Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-27T16:23:04Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T16:20:31Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T15:06:16Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-27T04:44:51Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T04:12:26Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T02:53:48Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-27T02:30:48Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-27T01:56:24Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-27T01:54:34Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-27T01:31:02Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-27T01:25:47Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-27T01:19:09Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-27T00:38:27Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-26T19:32:03Z,g076,t03_s04,Sprint 1
