team,label,student,sprint,global_id
t10,good teammate,t10_s01,Sprint 1,g041
t10,hitchhiker,t10_s03,Sprint 1,g075
t10,good teammember,t10_s01,Sprint 1,g041
t10,good teammate,t10_s02,Sprint 1,g045
t10,good teammate,t10_s04,Sprint 1,g078
t10,good teammate,t10_s03,Sprint 1,g075
t10,good teammember,t10_s03,Sprint 1,g075
t10,good teammate,t10_s01,Sprint 1,g041
t10,good teammate,t10_s02,Sprint 1,g045
t10,good teammate,t10_s04,Sprint 1,g078
t11,good teammember,t11_s02,Sprint 1,g050
t11,good teammate,t11_s01,Sprint 1,g049
t11,good teammate,t11_s04,Sprint 1,g068
t11,good teammate,t11_s03,Sprint 1,g054
t11,good teammember,t11_s02,Sprint 1,g050
t11,good teammate,t11_s01,Sprint 1,g049
t11,good teammate,t11_s04,Sprint 1,g068
t11,good teammate,t11_s03,Sprint 1,g054
t11,good teammember,t11_s03,Sprint 1,g054
t11,good teammate,t11_s04,Sprint 1,g068
t11,good teammate,t11_s02,Sprint 1,g050
t11,good teammate,t11_s01,Sprint 1,g049
t11,good teammember,t11_s01,Sprint 1,g049
t11,good teammate,t11_s04,Sprint 1,g068
t11,good teammate,t11_s02,Sprint 1,g050
t11,good teammate,t11_s03,Sprint 1,g054
t11,good teammember,t11_s04,Sprint 1,g068
t11,good teammate,t11_s02,Sprint 1,g050
t11,good teammate,t11_s03,Sprint 1,g054
t11,good teammate,t11_s01,Sprint 1,g049
t12,good teammember,t12_s01,Sprint 1,g011
t12,good teammate,t12_s03,Sprint 1,g021
t12,good teammate,t12_s04,Sprint 1,g022
t12,good teammate,t12_s05,Sprint 1,g038
t12,good teammate,t12_s02,Sprint 1,g013
t12,good teammate,t12_s04,Sprint 1,g022
t12,good teammate,t12_s03,Sprint 1,g021
t12,good teammate,t12_s01,Sprint 1,g011
t12,good teammate,t12_s05,Sprint 1,g038
t12,couch potato,t12_s02,Sprint 1,g013
t12,good teammember,t12_s05,Sprint 1,g038
t12,good teammate,t12_s03,Sprint 1,g021
t12,good teammate,t12_s02,Sprint 1,g013
t12,good teammate,t12_s01,Sprint 1,g011
t12,good teammate,t12_s04,Sprint 1,g022
t12,good teammember,t12_s02,Sprint 1,g013
t12,good teammate,t12_s01,Sprint 1,g011
t12,good teammate,t12_s03,Sprint 1,g021
t12,good teammate,t12_s05,Sprint 1,g038
t12,good teammate,t12_s04,Sprint 1,g022
t12,good teammember,t12_s03,Sprint 1,g021
t12,good teammate,t12_s04,Sprint 1,g022
t12,good teammate,t12_s02,Sprint 1,g013
t12,good teammate,t12_s01,Sprint 1,g011
